,name,query,url,domainContext,volume,topics_1_a,topics_1_b
70,FTCU,FTCU,search?q=FTCU,,33200,,
71,Pedri,Pedri,search?q=Pedri,Soccer,32200,,
72,GBTC,GBTC,search?q=GBTC,Business and finance,29000,,
73,Klay,Klay,search?q=Klay,NBA,28200,,
74,BEST WISHES TO REBECCA,BEST+WISHES+TO+REBECCA,search?q=%22BEST+WISHES+TO+REBECCA%22,Holidays,27200,,
75,Gaston Glock,Gaston+Glock,search?q=%22Gaston+Glock%22,,27200,,
76,Vanessa Bryant,Vanessa+Bryant,search?q=%22Vanessa+Bryant%22,,26799,,
77,Inoue,Inoue,search?q=Inoue,Boxing,26200,,
78,#FULARS,%23FULARS,search?q=%23FULARS,Soccer,26000,,
79,Barron,Barron,search?q=Barron,Politics,25600,,
80,Ange,Ange,search?q=Ange,Sports,25200,,
81,Good Sunday,Good+Sunday,search?q=%22Good+Sunday%22,,24000,,
82,Arteta,Arteta,search?q=Arteta,Premier League,23600,,
83,Beyblade,Beyblade,search?q=Beyblade,Entertainment,23600,,
84,#thursdayvibes,%23thursdayvibes,search?q=%23thursdayvibes,Only on X,21600,,
85,Ondo,Ondo,search?q=Ondo,,21200,,
86,Disease X,Disease+X,search?q=%22Disease+X%22,,21200,,
87,cowboys,cowboys,search?q=cowboys,Sports,20400,,
88,Cheers to 2024,Cheers+to+2024,search?q=%22Cheers+to+2024%22,,20200,,
89,Kelce,Kelce,search?q=Kelce,,19799,,
90,#FridayVibes,%23FridayVibes,search?q=%23FridayVibes,Only on X,19600,news,entertainment
91,Tulane,Tulane,search?q=Tulane,Sports,19400,,
92,Rand Paul,Rand+Paul,search?q=%22Rand+Paul%22,Politics,19400,,
93,Hamlin,Hamlin,search?q=Hamlin,NFL,19036,,
94,#FursuitFriday,%23FursuitFriday,search?q=%23FursuitFriday,,18600,news,entertainment
95,Good Saturday,Good+Saturday,search?q=%22Good+Saturday%22,,18400,,
96,Smothers Brothers,Smothers+Brothers,search?q=%22Smothers+Brothers%22,,18400,,
97,Tom Smothers,Tom+Smothers,search?q=%22Tom+Smothers%22,,18400,,
98,US Navy,US+Navy,search?q=%22US+Navy%22,,16400,,
99,Hertz,Hertz,search?q=Hertz,Travel,16400,,
100,Norvell,Norvell,search?q=Norvell,Sports,15800,,
101,Good Wednesday,Good+Wednesday,search?q=%22Good+Wednesday%22,,15600,,
102,Havertz,Havertz,search?q=Havertz,Soccer,15399,,
103,Jill Biden,Jill+Biden,search?q=%22Jill+Biden%22,Politics,15399,,
104,New Orleans,New+Orleans,search?q=%22New+Orleans%22,,15000,,
105,Marvin,Marvin,search?q=Marvin,,14800,,
106,Sonic Prime,Sonic+Prime,search?q=%22Sonic+Prime%22,,14600,,
107,Mike DeWine,Mike+DeWine,search?q=%22Mike+DeWine%22,in Political figures,14399,,
108,Stidham,Stidham,search?q=Stidham,Sports,14000,,
109,Solange,Solange,search?q=Solange,Music,13800,,
110,Good Thursday,Good+Thursday,search?q=%22Good+Thursday%22,,13800,,
111,Nketiah,Nketiah,search?q=Nketiah,Sports,13800,,
112,Milik,Milik,search?q=Milik,Soccer,13600,,
113,Jaire,Jaire,search?q=Jaire,,13399,,
114,Encounters,Encounters,search?q=Encounters,,13200,,
115,Prince of Persia,Prince+of+Persia,search?q=%22Prince+of+Persia%22,Gaming,13000,,
116,Brittany Watts,Brittany+Watts,search?q=%22Brittany+Watts%22,Politics,12800,,
117,Andrade,Andrade,search?q=Andrade,Wrestling,12600,,
118,Tomi,Tomi,search?q=Tomi,Sports,12600,,
119,#FridayFeeling,%23FridayFeeling,search?q=%23FridayFeeling,Only on X,12600,outdoors,entertainment
120,Happy NYE,Happy+NYE,search?q=%22Happy+NYE%22,Events,12200,,
121,Trina,Trina,search?q=Trina,,12000,,
122,Iowa State,Iowa+State,search?q=%22Iowa+State%22,,11800,,
123,Miller Moss,Miller+Moss,search?q=%22Miller+Moss%22,Sports,11800,,
124,Kiwior,Kiwior,search?q=Kiwior,Sports,11399,,
125,Bill O'Reilly,Bill+O%27Reilly,search?q=%22Bill+O%27Reilly%22,Politics,11399,,
126,Selen,Selen,search?q=Selen,,11200,,
127,Sarr,Sarr,search?q=Sarr,Sports,11000,,
128,DeBoer,DeBoer,search?q=DeBoer,Sports,9552,,
129,Pink Friday Girls,Pink+Friday+Girls,search?q=%22Pink+Friday+Girls%22,,9427,,
130,#sundayvibes,%23sundayvibes,search?q=%23sundayvibes,,9076,,
131,Giolito,Giolito,search?q=Giolito,,8948,,
132,Cale,Cale,search?q=Cale,Auto racing,8806,,
133,Jim Caviezel,Jim+Caviezel,search?q=%22Jim+Caviezel%22,,8625,,
134,Hump Day,Hump+Day,search?q=%22Hump+Day%22,,8235,,
135,NOLA,NOLA,search?q=NOLA,,7632,,
136,Tasha K,Tasha+K,search?q=%22Tasha+K%22,Entertainment,7527,,
137,Jesus is Lord,Jesus+is+Lord,search?q=%22Jesus+is+Lord%22,,7460,,
138,Dabo,Dabo,search?q=Dabo,Sports,7286,,
139,Broja,Broja,search?q=Broja,Soccer,7235,,
140,Celie,Celie,search?q=Celie,,7108,,
141,KYLE HAMILTON,KYLE+HAMILTON,search?q=%22KYLE+HAMILTON%22,NFL,7032,,
142,Quarterbacky,Quarterbacky,search?q=Quarterbacky,NFL,6894,,
143,Turley,Turley,search?q=Turley,,6828,,
144,Canada Dry,Canada+Dry,search?q=%22Canada+Dry%22,Food,6773,,
145,WE LOVE YOU NICKI,WE+LOVE+YOU+NICKI,search?q=%22WE+LOVE+YOU+NICKI%22,,6532,,
146,Rutgers,Rutgers,search?q=Rutgers,Sports,6502,,
147,McCord,McCord,search?q=McCord,Sports,6493,,
148,BRC App,BRC+App,search?q=%22BRC+App%22,Business and finance,6415,,
149,Saturday of 2023,Saturday+of+2023,search?q=%22Saturday+of+2023%22,,6088,,
150,Where's Melania,Where%27s+Melania,search?q=%22Where%27s+Melania%22,in Political figures,5943,,
151,Jelly Roll,Jelly+Roll,search?q=%22Jelly+Roll%22,Politics,5830,,
152,Hookah,Hookah,search?q=Hookah,,5752,,
153,Andre Drummond,Andre+Drummond,search?q=%22Andre+Drummond%22,NBA,5386,,
154,$SCOOBY,%24SCOOBY,search?q=%24SCOOBY,,5116,,
155,Go Bills,Go+Bills,search?q=%22Go+Bills%22,NFL,5111,,
156,#Caturday,%23Caturday,search?q=%23Caturday,,5047,,
157,Epiphany,Epiphany,search?q=Epiphany,,5002,,
158,Herb Kohl,Herb+Kohl,search?q=%22Herb+Kohl%22,,4977,,
159,moon app,moon+app,search?q=%22moon+app%22,,4757,,
160,Richarlison,Richarlison,search?q=Richarlison,Soccer,4686,,
161,James Garner,James+Garner,search?q=%22James+Garner%22,,4513,,
162,America Has A Problem,America+Has+A+Problem,search?q=%22America+Has+A+Problem%22,,4429,,
163,Schweppes,Schweppes,search?q=Schweppes,Food,4077,,
164,Willian,Willian,search?q=Willian,Soccer,4072,,
165,McKennie,McKennie,search?q=McKennie,Soccer,3954,,
166,#SaturdayMorning,%23SaturdayMorning,search?q=%23SaturdayMorning,Only on X,3867,,
167,keleigh,keleigh,search?q=keleigh,,3854,,
168,Marcus Smart,Marcus+Smart,search?q=%22Marcus+Smart%22,NBA,3709,,
169,Dier,Dier,search?q=Dier,Soccer,3506,,
170,Cotton Bowl,Cotton+Bowl,search?q=%22Cotton+Bowl%22,Sports,3500,,
171,Stoops,Stoops,search?q=Stoops,,3367,,
172,Chris Jericho,Chris+Jericho,search?q=%22Chris+Jericho%22,All Elite Wrestling,3268,,
173,Lo Celso,Lo+Celso,search?q=%22Lo+Celso%22,Sports,3256,,
174,Happy Birthday Lily,Happy+Birthday+Lily,search?q=%22Happy+Birthday+Lily%22,Politics,3110,,
175,Czechia,Czechia,search?q=Czechia,,3090,,
176,Chandler Parsons,Chandler+Parsons,search?q=%22Chandler+Parsons%22,NBA,2997,,
177,#WearBlueDay,%23WearBlueDay,search?q=%23WearBlueDay,,2862,,
178,$BULLE,%24BULLE,search?q=%24BULLE,,2843,,
179,#NationalMilkDay,%23NationalMilkDay,search?q=%23NationalMilkDay,,2821,,
180,Jason Bean,Jason+Bean,search?q=%22Jason+Bean%22,Sports,2813,,
181,Richy,Richy,search?q=Richy,Soccer,2750,,
182,Brady Cook,Brady+Cook,search?q=%22Brady+Cook%22,,2562,,
183,Friyay,Friyay,search?q=Friyay,,2540,,
184,Ahmed Musa,Ahmed+Musa,search?q=%22Ahmed+Musa%22,Soccer,2525,,
185,Iwobi,Iwobi,search?q=Iwobi,Sports,2493,,
186,Skipp,Skipp,search?q=Skipp,Soccer,2458,,
187,Plummer,Plummer,search?q=Plummer,Sports,2380,,
188,Alec Burks,Alec+Burks,search?q=%22Alec+Burks%22,NBA,2377,,
189,Go Cats,Go+Cats,search?q=%22Go+Cats%22,,2239,,
190,Dan Klecko,Dan+Klecko,search?q=%22Dan+Klecko%22,,2164,,
191,Gundy,Gundy,search?q=Gundy,Sports,2125,,
192,Kelis,Kelis,search?q=Kelis,Music,2056,,
193,Clemson,Clemson,search?q=Clemson,Clemson University,2000,,
194,#RaisingKanan,%23RaisingKanan,search?q=%23RaisingKanan,,2000,,
195,Russ,Russ,search?q=Russ,Sports | NFL,2000,,
196,Ted Danson,Ted+Danson,search?q=%22Ted+Danson%22,Entertainment,1959,,
197,Ohioans,Ohioans,search?q=Ohioans,Politics,1907,,
198,Udogie,Udogie,search?q=Udogie,Sports,1884,,
199,Zamir White,Zamir+White,search?q=%22Zamir+White%22,Sports,1837,,
200,#HolidayBowl,%23HolidayBowl,search?q=%23HolidayBowl,Sports,1834,,
201,Sam Darnold,Sam+Darnold,search?q=%22Sam+Darnold%22,,1720,,
202,#MIZvsOSU,%23MIZvsOSU,search?q=%23MIZvsOSU,Sports,1699,,
203,Arch Manning,Arch+Manning,search?q=%22Arch+Manning%22,Football,1670,,
204,Jarrett Allen,Jarrett+Allen,search?q=%22Jarrett+Allen%22,NBA,1668,,
205,Cam Thomas,Cam+Thomas,search?q=%22Cam+Thomas%22,NBA,1665,,
206,#AskFFT,%23AskFFT,search?q=%23AskFFT,Fantasy sports,1626,,
207,#DukesMayoBowl,%23DukesMayoBowl,search?q=%23DukesMayoBowl,,1612,news,sports
208,Mychal,Mychal,search?q=Mychal,,1522,,
209,Seagrams,Seagrams,search?q=Seagrams,,1512,,
210,Mikal Bridges,Mikal+Bridges,search?q=%22Mikal+Bridges%22,NBA,1482,,
211,rich forever,rich+forever,search?q=%22rich+forever%22,,1424,,
212,Ryan Clark,Ryan+Clark,search?q=%22Ryan+Clark%22,Sports,1413,,
213,Full PPR,Full+PPR,search?q=%22Full+PPR%22,Sports,1384,,
214,Spida,Spida,search?q=Spida,NBA,1180,,
215,devin leary,devin+leary,search?q=%22devin+leary%22,,1133,,
216,Flex Friday,Flex+Friday,search?q=%22Flex+Friday%22,,1093,,
217,Leary,Leary,search?q=Leary,Sports,1081,,
218,JACK SAWYER,JACK+SAWYER,search?q=%22JACK+SAWYER%22,,1072,,
219,Parker Fleming,Parker+Fleming,search?q=%22Parker+Fleming%22,,1055,,
220,#jjk247,%23jjk247,search?q=%23jjk247,,1000,,
221,Texas State,Texas+State,search?q=%22Texas+State%22,,1000,,
222,The NFL,The+NFL,search?q=%22The+NFL%22,Football,1000,,
223,kali uchis,kali+uchis,search?q=%22kali+uchis%22,Music,1000,,
224,#itsbeenalongyear,%23itsbeenalongyear,search?q=%23itsbeenalongyear,,1000,,
225,#aphroditeapproves,%23aphroditeapproves,search?q=%23aphroditeapproves,Only on X,1000,,
226,Tristan Thompson,Tristan+Thompson,search?q=%22Tristan+Thompson%22,NBA,1000,,
227,Achane,Achane,search?q=Achane,NFL,1000,,
228,hobi,hobi,search?q=hobi,Music,1000,,
229,#SummerHouse,%23SummerHouse,search?q=%23SummerHouse,Reality TV,1000,,
230,UNLV,UNLV,search?q=UNLV,Sports,1000,,
231,#COYS,%23COYS,search?q=%23COYS,Soccer,1000,,
232,Willie green,Willie+green,search?q=%22Willie+green%22,NBA,1000,,
233,#OKXwithBABYGROK,%23OKXwithBABYGROK,search?q=%23OKXwithBABYGROK,,1000,,
234,Jeff Wilson,Jeff+Wilson,search?q=%22Jeff+Wilson%22,,1000,,
235,Belichick,Belichick,search?q=Belichick,Sports,1000,,
236,Shipley,Shipley,search?q=Shipley,,1000,,
237,Dewalt,Dewalt,search?q=Dewalt,,1000,,
238,Exxon,Exxon,search?q=Exxon,Politics,1000,,
239,Mizzou,Mizzou,search?q=Mizzou,Sports,1000,,
240,Figgy,Figgy,search?q=Figgy,Sports,1000,,
241,Flacco,Flacco,search?q=Flacco,NFL,1000,,
242,Frank Thomas,Frank+Thomas,search?q=%22Frank+Thomas%22,Sports,1000,,
243,GAME DAY,GAME+DAY,search?q=%22GAME+DAY%22,,1000,,
244,Max Strus,Max+Strus,search?q=%22Max+Strus%22,NBA,1000,,
245,Luke Weaver,Luke+Weaver,search?q=%22Luke+Weaver%22,MLB,1000,,
246,Grant Hill,Grant+Hill,search?q=%22Grant+Hill%22,Sports,1000,,
247,Hendershot,Hendershot,search?q=Hendershot,Sports,1000,,
248,Lamine Yamal,Lamine+Yamal,search?q=%22Lamine+Yamal%22,Soccer,1000,,
249,Kylie Rae,Kylie+Rae,search?q=%22Kylie+Rae%22,Wrestling,1000,,
250,Hester,Hester,search?q=Hester,Sports,1000,,
251,IROC,IROC,search?q=IROC,,1000,,
252,Nugenix,Nugenix,search?q=Nugenix,Sports,1000,,
253,Ohio State,Ohio+State,search?q=%22Ohio+State%22,Sports,1000,,
254,Ollie Gordon,Ollie+Gordon,search?q=%22Ollie+Gordon%22,Sports,1000,,
255,Chamillionaire,Chamillionaire,search?q=Chamillionaire,Pop,1000,,
256,Busch,Busch,search?q=Busch,MLB,1000,,
257,Bustos,Bustos,search?q=Bustos,Soccer,1000,,
258,Cam Johnson,Cam+Johnson,search?q=%22Cam+Johnson%22,NBA,1000,,
259,Carisi,Carisi,search?q=Carisi,Crime drama,1000,,
260,Cavs,Cavs,search?q=Cavs,NBA,1000,,
261,Saka,Saka,search?q=Saka,Sports,1000,,
262,Ruan Mei,Ruan+Mei,search?q=%22Ruan+Mei%22,,1000,,
263,Comrie,Comrie,search?q=Comrie,NHL,1000,,
264,Reading Rainbow,Reading+Rainbow,search?q=%22Reading+Rainbow%22,,1000,,
265,Ray Davis,Ray+Davis,search?q=%22Ray+Davis%22,,1000,,
266,Ravens,Ravens,search?q=Ravens,NFL,1000,,
267,Championship Sunday,Championship+Sunday,search?q=%22Championship+Sunday%22,,1000,,
268,Chiefs,Chiefs,search?q=Chiefs,,1000,,
269,Cole Palmer,Cole+Palmer,search?q=%22Cole+Palmer%22,UEFA Champions League,1000,,
270,#AEWDynamite,%23AEWDynamite,search?q=%23AEWDynamite,Wrestling,1000,,
